message_id,message_body_clean
<iO86qexnjF2dH6Cs@example.com>,"Why do all of that?  

Just submit this to the CRB: 

Any 500cc water cooled 2 cycle sled engine, stock ECU/ignitions, any cvt 
clutche/s.
Restrictions: 38 carbs, 2 into one manifold,  SSx gas test...nothing else.
Weight 825#'s.

No concerns over manufactuers decisions, larger engine supply, and a real easy 
post race tech. Now that's a real tuners class!

Betcha we'd have a lot more interest in F5...and a really quick ride. 
 <gmane_tag_closing> <gmane_tag_personal_signature> <gmane_tag_quotation> <gmane_tag_personal_signature> <gmane_tag_visual_separator> <gmane_tag_mua_signature>"
<LMJ1qyx+LqmsngTP@example.com>,"<gmane_tag_quotation_marker> <gmane_tag_quotation> Well, that doesn't seem correct.  The Germans *are* the Scenario Attacker
(because the SSR defines the British as Scenario Defender; you can never have
one without the other), which entitles them to use Cloaking per the following
Q&A:

E1.41 If a side is designated by SSR as the Scenario Attacker, can Cloaking
still be used even if all his forces set up on board?
A. Yes. [An97; Mw]

E1.411 vaguely implies the opposite but it is a particularly poorly-written
rule (a strong effort given how little it actually says).  Given the above
Q&A, it should be reworded to effectively delete the first sentence --
offboard setup is not required for a *designated* Scenario Attacker.

Keep in mind that there are only two ways for a side to be classed as
""Scenario Attacker"" (or ""Defender""): either it fulfils the criteria
established in the Index, or an SSR specifies it.  Regardless, per the Index
definition, you cannot have one without the other.

It seems as though that Perry believes the SSR for PB2 is to give the British
the advantages (but not the disadvantages) of being Scenario Defender.  If so
it should have been worded differently if the intent was also to prevent the
Germans from getting the advantages of being Scenario Attacker.  (Note that if
SSR 2 hadn't mentioned that the British are Scenario Defender, neither side
would be, because they don't fulfil the Index criteria.)

 <gmane_tag_quotation> That's perfectly consistent with the above Q&A.

 <gmane_tag_quotation> No, you were given a bad ruling for PB2.  (Or PB2 is in need of errata.)

 <gmane_tag_visual_separator> <gmane_tag_personal_signature> <gmane_tag_visual_separator> <gmane_tag_mua_signature>"
<fZ37B54xEIPqGKPB@example.com>,"Another update... Nexuiz is (tentatively) up! I haven't had a chance to test
it yet myself, but so far everything looks good. If somebody could connect
and then drop me an email to let me know if it's working or not, that would
be fantastic.

*Nexuiz* (2.4.2)
 <gmane_tag_log_data> <gmane_tag_tabular> If you're using Ubuntu/Debian, you won't have the latest version of Nexuiz.
Just grab the debs from Intrepid/Lenny; there are no new dependencies.

 <gmane_tag_quotation_marker> <gmane_tag_quotation>"
<t9ZBepY9tWf76G1+@example.com>,"Great job Nextgens  :)

 <gmane_tag_log_data> How come I didn't see this revision in the cvs mailinglist?  I
actually found the new freenet-ext.jar build while browsing the
download directory.

Is it something on the server end or gmail's?  Hmm, gmane doesn't have
it either so it must be something on the build server??

I see quite a few revisions missing from the cvs mailinglist
rev 9618-9621, 9628, 9630-9635, 9637-9641, 9643-9663, 9666, and many, many more.

Also the current freenet-ext.jar claims to be r9584 in the log but
r9584 did not fix this, so there are changes happening to the code
without revisions taking place or is r9584 a tag that is actually
editted in the code?

Should we be concerned about any of this?



 <gmane_tag_visual_separator> <gmane_tag_personal_signature> death, your right to say it. - Voltaire"
<000601c73550$ae6a0cf0$6401a8c0@normadesktop>,"John I played Contract Bridge tonight, and brought the subject up, and one 
of the ladies also heard of it.  I also asked JT about it, he had not, and 
laughed at me.  I am going to try it on another one of my species and just 
see what happens.  What is Bleach made of anyway?  Norma
 <gmane_tag_quotation_marker> <gmane_tag_inline_headers> <gmane_tag_quotation> <gmane_tag_mua_signature>"
<R1lRnqBrlMykID21@example.com>,"<gmane_tag_quotation_marker> <gmane_tag_quotation> <gmane_tag_quotation_marker> <gmane_tag_quotation> <gmane_tag_log_data> Vendor F

 <gmane_tag_closing>"
<Nsp5YyO5vq138pFT@example.com>,"<gmane_tag_quotation_marker> <gmane_tag_quotation> True.  If only there was something like that old site, what was it
called, the Dinosauricon.  If we could just remember who used to run
that, maybe we could get him to breathe some life back into it?

 <gmane_tag_visual_separator> <gmane_tag_personal_signature> 	 rules?' but rather `does it work?'"" -- Sella Rush."
<001601c87a72$d183df00$c6fba8c0@mohammadkhan>,"Check the port the c3270 emulator is trying to connect vs the port at which 
Hercules is expecting connection. The configuration file will tell you the 
port at which Hercules is listening for terminal connections (normally port 
3270). The emulators usually default to a different port.
 <gmane_tag_closing> <gmane_tag_quotation_marker> <gmane_tag_quotation>"
<wv74qqKReQYHCtZQ@example.com>,"<gmane_tag_quotation_marker> <gmane_tag_quotation> That is not an in-wiki fix for the problem.  While I agree that it would be
useful, major modifications to MediaWiki are outside the immediate tactical
scope... Unless you know PHP a lot more fluently than I do and have commit
access to the source ;-)


 <gmane_tag_visual_separator> <gmane_tag_personal_signature> <gmane_tag_visual_separator> <gmane_tag_mua_signature>"
<QtHJfefoTe6ix6c7@example.com>,<gmane_tag_quotation_marker> <gmane_tag_quotation>
<E4uX/6AmBzpgD1MM@example.com>,<gmane_tag_quotation_marker> <gmane_tag_quotation> <gmane_tag_visual_separator>
<r8ClCqltV4msOCVK@example.com>,"<gmane_tag_salutation> i have a big problem here.

I have a backup hard drive with an ext3 partition.
One of my friends made a backup on it with some gentoo portage
things.

Now that he is gone i wanted to delete the 4 files which are taking
8GB away but i am not allowed to do so.

And it is really weired.

Here is the output from ls -lisa in the directory:
2294475 4 drwsrwsrwt     1 garfield   garfield   4096 2008-02-25 13:57 .
 <gmane_tag_log_data> And sudo rm -v xs_colors.h gives me:
 <gmane_tag_log_data> The same happens when i try to chmod or chown the files
as sudo or user.

The output of file xs_colors.h is:
xs_colors.h: ERROR: invalid mode 074427

I even tried to remove the file over the inode with
find . i number -exec rm ...
But i dont have the permissions :D

So i unmounted the partition and started to check it with fdisk.
It found a lot of errors to much for me, so i started fdisk -a.
fdisk fiddled around for a while and and then died with the message
that there are errors that have to be handled manually.
But again fdisk without -a needs a 1000 user inputs or much more
and i dont want to spend my afternoon sitting here and pressing y.


Any ideas what else i could do despite reformatting the partition?


 <gmane_tag_closing>"
<Zr2LhsUhwh01rT+r@example.com>,"<gmane_tag_salutation> I used to get that problem earlier. The time dependent solver needs some inital value to begin with and doesnt like starting with 0 initial conditions. U can either put this value in the init tab of the subdomain physics for all subdomains and the other option is to solve the problem statically first and then use the static solution as the inital condition for the timestepping. This can be done using the solver manager.

The problem i am facing is that the solver is unstable and converges for a while untill suddenly the nonlinear solver fails to converge. Also this doesnt happen for all values of current density, just in the middle range, as it works for lower currents where the system is working in the linear regions and for higher currents where it is in saturation.

Please help...im out of ideas.

 <gmane_tag_closing> <gmane_tag_quotation_marker> <gmane_tag_inline_headers>             Hi, I am facing a similar problem that the time dependent solver does

not converge.



I was running the 'nonisothermal flow' from the chemical engineering

module model library, able to solve it when it is set at stationary,

but error occur when it is set to time dependent. The error showed at

'time 0: Failed to find consistent initial values. Last time step is

not converged.'



Any advice?



 <gmane_tag_closing> <gmane_tag_quotation_marker> <gmane_tag_quotation>"
<1TIHwiHQW9idDzdE@example.com>,"The original message was received at Sat, 15 Jul 2006 09:00:30 -0700
 <gmane_tag_log_data> <gmane_tag_quotation_marker> <gmane_tag_log_data> <gmane_tag_quotation> <gmane_tag_log_data> <gmane_tag_visual_separator> <gmane_tag_mua_signature>"
<JD6WSIAVEDjWBpjn@example.com>,"<gmane_tag_quotation_marker> <gmane_tag_quotation> added these three lines to custom-kernel-confg and all is groovy now
 <gmane_tag_quotation> you know that's pretty interesting. I've run into ulimit issues before with
3rd party software and socket connections. although i was under the
impression that it was the shell the software was executing the daemon
process as that needed to be tuned (in my case /bin/sh had a pretty low
network socket ulimit). I guess what I did not expect was that this is a
kernel tunable, not a shell tunable (or atleast a tunable that is set in
userspace) as I have used it in the past. so these kernel options effect all
shell's, set limit's on resources out of the shell, or something else i'm
missing? the man page for ulimit (1) is for ""Shell builtin commands"". Guess
I need to read up on this a bit more.

 <gmane_tag_closing> <gmane_tag_visual_separator> <gmane_tag_personal_signature>"
<24cNkhGjJj+d7CMJ@example.com>,"<gmane_tag_quotation_marker> <gmane_tag_quotation> MUST HAVE BEEN since i got mine in BOSTON back then.

 <gmane_tag_closing>"
<N8mx4yxEkD6UU5JU@example.com>,"<gmane_tag_tabular> With today's upgrade I get this when I do ls:

 <gmane_tag_raw_code> <gmane_tag_log_data> <gmane_tag_raw_code> <gmane_tag_log_data> <gmane_tag_raw_code> <gmane_tag_log_data> <gmane_tag_raw_code> <gmane_tag_log_data> The LS_COLORS was set by ""dircolors -b"" of the former coreutils version.

The new ls should silently ignore the ""hl"" value if it's obsoleted otherwise
everybody will have this warning the day of the upgrade until they
disconnect/reconnet.

 <gmane_tag_section_heading> <gmane_tag_tabular> coreutils recommends no packages.

coreutils suggests no packages.

-- no debconf information"
