root_id	group	message_depth	message_id	from	to	date	subject	message_body	nchar_fulltext	nchar_body	nchar_log	nchar_code	nchar_quot
<E98E9EBE209D4EF6AB04F9E2A24988FA@olorin>	gmane.education.classics	0	<E98E9EBE209D4EF6AB04F9E2A24988FA@olorin>	SgXYNfU90F1zfB4B@example.com	7ymabQw8IMtICtcK@example.com	2009-03-17 13:49:40+02:00	Re: Clement online in Greek?	"<gmane_tag_quotation_marker> <gmane_tag_quotation> Stromateis, in Greek?

See

http://www.documentacatholicaomnia.eu/04z/z_0150-0207__Clemens_Alessandrinus__Stromata_(MPG_008_0685_1384)__GM.pdf.html

and

http://www.documentacatholicaomnia.eu/04z/z_0150-0207__Clemens_Alessandrinus__Stromata_(MPG_009_0040_0602)__GM.pdf.html

for Migne, it appears - not exactly ""on-line"" so much 
as massive PDFs suitable for broadband download.


 <gmane_tag_personal_signature>"	497	463	0	0	73
<E98E9EBE209D4EF6AB04F9E2A24988FA@olorin>	gmane.education.classics	1	<XR+Ypu1ahg/+k8lm@example.com>	NY6yEsPli3EcGuhb@example.com	7ymabQw8IMtICtcK@example.com	2009-03-17 08:50:47-04:00	Re: Clement online in Greek?	"Good, thanks.  I'd just come across this bit in LSJ:  economic advice  
 <gmane_tag_log_data> ἐπὶ γῆς μὴ πλεῖν [epi ges me plein]  when on land do  
not be at sea, i.e. avoid the hazards of [risky investments like]  tax- 
farming, etc., Pythag. ap. Clem.Al.Strom.5.5.28.

 <gmane_tag_closing> -- nice proverb  for the present crisis but also as illustrating a  
truth about ancient trade, in just four words. 

 <gmane_tag_closing> <gmane_tag_quotation_marker> <gmane_tag_quotation>"	981	482	16	0	581
<E98E9EBE209D4EF6AB04F9E2A24988FA@olorin>	gmane.education.classics	2	<ZbYvvVWXScvDNdwJ@example.com>	1JTV847TpPLNTNhR@example.com	7ymabQw8IMtICtcK@example.com	2009-03-17 15:57:55+01:00	Re: Clement online in Greek?	"<gmane_tag_quotation_marker> <gmane_tag_quotation> M.C. Maybe, if that's what it really means. It is, after all, a  
Pythagorean *akousma* or *sumbolon*, whose meaning was supposed to be  
known only to initiates.

	The text as it stands seems incomprehensible to me: literally: ""do  
not sail on the earth"" (some editors have proposed *telein* instead of  
*plein*), and Clement's interpretation both too pedestrian and too far- 
fetched. But hey, what do I know?

	On the Pythagorean symbola/akousmata see, for instance:

J.C. Thom, “Don’t walk on the highways”: the Pythagorean  
akousmata and early Christian literature, in «Journal of Biblical  
Literature» 113 (1994), pp. 93-112
W. Burkert, Lore and Science in Ancient Pythagoreanism, HUP 1972, pp.  
166-192.
 <gmane_tag_personal_signature> <gmane_tag_closing> <gmane_tag_quotation>"	1299	840	0	0	461
<E98E9EBE209D4EF6AB04F9E2A24988FA@olorin>	gmane.education.classics	3	<xnjdmJiljIkWUINn@example.com>	NY6yEsPli3EcGuhb@example.com	7ymabQw8IMtICtcK@example.com	2009-03-17 11:06:23-04:00	Re: Clement online in Greek?	"News flash:  Christian misinterprets the classics...

I'd checked none of the sources below. Thanks very much!

 <gmane_tag_closing> <gmane_tag_quotation_marker> <gmane_tag_quotation>"	1524	183	0	0	1408
<4XKkXcJxpS8yKED6@example.com>	gmane.plants.sansevieria.collectors	0	<4XKkXcJxpS8yKED6@example.com>	JCtf/tzasne4BQOF@example.com		2004-04-04 23:14:28-07:00	test	"just a test

 <gmane_tag_quotation_marker> <gmane_tag_personal_signature> http://www.endangeredspecies.com

 <gmane_tag_visual_separator> <gmane_tag_personal_signature> <gmane_tag_visual_separator> Checked by AVG anti-virus system (http://www.grisoft.com).
 <gmane_tag_tabular> <gmane_tag_mua_signature>"	810	303	0	0	15
<4XKkXcJxpS8yKED6@example.com>	gmane.plants.sansevieria.collectors	1	<S/n+HHG4/ezJF2Jm@example.com>	DygfOdMzxHu8JfZr@example.com		2004-04-05 08:41:37-05:00	Re: test	"yes, we're still alive.

 <gmane_tag_personal_signature> <gmane_tag_quotation_marker> <gmane_tag_quotation> <gmane_tag_mua_signature>"	1098	133	0	0	637
<4XKkXcJxpS8yKED6@example.com>	gmane.plants.sansevieria.collectors	2	<CjUI0/o9FXpKInez@example.com>	JCtf/tzasne4BQOF@example.com		2004-04-05 10:20:47-07:00	Re: test	"<gmane_tag_quotation_marker> <gmane_tag_quotation> Ned made it through the winter?
Are you also on tsYLq8VyfhJyReF4@example.com?
I have been deeply involved in doing entire gardens for people, and have 
had little time to massage my wee plant lists.

I am grateful for the work, even though it is very different from what i 
had originally planned....

 <gmane_tag_closing> <gmane_tag_visual_separator> Checked by AVG anti-virus system (http://www.grisoft.com).
 <gmane_tag_tabular> <gmane_tag_mua_signature>"	1025	508	0	0	90
<4XKkXcJxpS8yKED6@example.com>	gmane.plants.sansevieria.collectors	3	<wOtz/IX+O/f90pvE@example.com>	DygfOdMzxHu8JfZr@example.com		2004-04-06 13:45:41-05:00	Re: test	"i think so, unless I was fired <shrug>
where is that lame b*st-ard anyway?

yeah, ned is fine...strapping young lad that he is...

 <gmane_tag_closing> <gmane_tag_quotation_marker> <gmane_tag_quotation> <gmane_tag_mua_signature> <gmane_tag_visual_separator> <gmane_tag_mua_signature>"	1808	283	0	0	858
<4XKkXcJxpS8yKED6@example.com>	gmane.plants.sansevieria.collectors	4	<NBJjlirWlpWHphJz@example.com>	DygfOdMzxHu8JfZr@example.com		2004-04-06 13:53:32-05:00	Re: test	"is this the topica list?
-LYNN



 <gmane_tag_quotation_marker> <gmane_tag_quotation> <gmane_tag_mua_signature>"	1766	111	0	0	1313
<4XKkXcJxpS8yKED6@example.com>	gmane.plants.sansevieria.collectors	5	<eHRThI4VE/rBcktv@example.com>	JCtf/tzasne4BQOF@example.com		2004-04-06 12:49:32-07:00	Re: test	"<gmane_tag_quotation_marker> <gmane_tag_quotation> no it is the yahoo list. the topica list is tsYLq8VyfhJyReF4@example.com

the various list hosting people are so unstable and given to things like 
adding banner ads, i felt a backup place was needed.

 <gmane_tag_closing> <gmane_tag_visual_separator> Checked by AVG anti-virus system (http://www.grisoft.com).
 <gmane_tag_tabular> <gmane_tag_mua_signature>"	915	408	0	0	83
